,Address,Price,Beds,Baths,Location,All_Text
14,24 Morbank Dr,"$1,388,800 CAD",4+3 beds,5 baths,"


Steeles
Morbank Dr


(  )
- BTC

","

24 Morbank Dr
$1,388,800 CAD
5 baths
4+3 beds




Steeles
Morbank Dr


(  )
- BTC


This Is The One You May Waited For, A Chevatti Italian-Built Home On A Premium Corner Lot In A Great Community, A High-Quality Renovation Throughout The House, Separate Entrance To Bsmnt Brings Endless Possibilities For Large Families, Investors. Close To Top Ranking...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
15,4230 Fieldgate Dr 22,"$895,000 CAD",3+1 beds,3 baths,"


Rathwood
Fieldgate Dr


(  )
- BTC

","

4230 Fieldgate Dr 22
$895,000 CAD
3 baths
3+1 beds




Rathwood
Fieldgate Dr


(  )
- BTC


2-Storey Townhouse, Rare X-Large 3+1 Bedroom Renovated Throughout In Quiet East Mississauga. New Kitchen, Large Master Bedroom W/En-Suit, Hardwood Floors Throughout. 3 Renovated Bathrooms. Marble & Birch Fireplace, Mirrored Closets, Good Sized Patio, With Fenced Back...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
16,650 Sheppard Ave 614,"$628,000 CAD",1+1 beds,1 baths,"


Bayview Village
Sheppard Ave


(  )
- BTC

","

650 Sheppard Ave 614
$628,000 CAD
1 baths
1+1 beds




Bayview Village
Sheppard Ave


(  )
- BTC


Luxury Shane Baghai Condo In Bayview Village! Area. Open Concept Unit  ,Upgrade Granite Kit. Counter Top, Hardwood Floor Throughout! Minutes Walk To Subway Station, Bayview Village, Bus, Restaurants, Supermarket, Park And Close To Highway401 ( Stainless Steeles Fridge...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
17,126 West Oak Tr,"$998,300 CAD",3 beds,3 baths,"

Kitchener


(  )
- BTC

","

126 West Oak Tr
$998,300 CAD
3 baths
3 beds



Kitchener


(  )
- BTC


Luxurious Home With A Double Car Garage. Family Friendly Neighborhood, Walking Distance To Schools, Parks, And Shopping, And Just Minutes To Highway. Very Practical Layout With Everything That You Need In A House Called Home. Gourmet Kitchen With S/S Appliances, Under...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
18,2437 Ploughshare Crt,"$999,000 CAD",3+2 beds,3 baths,"


Erin Mills
Ploughshare Crt


(  )
- BTC

","

2437 Ploughshare Crt
$999,000 CAD
3 baths
3+2 beds




Erin Mills
Ploughshare Crt


(  )
- BTC


Newly Renovated |well-Situated In Cul-De-Sac W/I Highly Sought-After Sawmill Valley |immaculate Top-To-Bottom |approx.1700 Sf Of Superb Living |brand New Hardwood Floors & Windows Thruout |marvellous Modern Kitchen Opens To Comfortable Dining & Family Room W/ W/O To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
19,2462 Brasilia Circ,"$999,999 CAD",3+1 beds,3 baths,"


Meadowvale
Brasilia Circ


(  )
- BTC

","

2462 Brasilia Circ
$999,999 CAD
3 baths
3+1 beds




Meadowvale
Brasilia Circ


(  )
- BTC


Over 150K Spent On Recently Upgraded 5 Level Back Split. 3+1 Bdrm & 3 Wshrm. Living/Dining Combined. Hardwood/Laminate Flrs Throughout, Open Concept Modern Kitchen With Brand New High End Ss Appliances, Quartz Counters, Back Splash.Smooth Ceilings/Pot Lights,Family...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
20,36 Turtle Path,"$2,499,000 CAD",5 beds,5 baths,"

Ramara
Brechin
Turtle Path


(  )
- BTC

","

36 Turtle Path
$2,499,000 CAD
5 baths
5 beds



Ramara
Brechin
Turtle Path


(  )
- BTC


Amazing Opportunity To Own A Dreamhouse In Ontario Venice Lagoon City! Custom Built 6000 Sqf Waterfront Builder House! 20 Ft Great Room With Wood Burning Fireplace, Featuring 5 Beds, Master With 7Pc Ensuite, Large Kitchen/Dining With Granite Counter, Ss Appliances...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
21,1810 Castlemore Ave,"$1,299,000 CAD",3+1 beds,4 baths,"

Markham
Greensborough
Castlemore Ave


(  )
- BTC

","

1810 Castlemore Ave
$1,299,000 CAD
4 baths
3+1 beds



Markham
Greensborough
Castlemore Ave


(  )
- BTC


A Must See Home In High Demand Greensborough Area. Freshly Painted, Pot Lights Through Out Main. Family Rm Gas Fireplace In Family Room. Three Spacious Bedrooms, Large Custom Deck, Finished Basement With Cosy Recreation Room, Bedroom And Washroom. Close To Parks, Mount...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
22,22 Horfield Ave,"$2,699,999 CAD",4+3 beds,6 baths,"

Toronto
Cliffcrest
Horfield Ave


(  )
- BTC

","

22 Horfield Ave
$2,699,999 CAD
6 baths
4+3 beds



Toronto
Cliffcrest
Horfield Ave


(  )
- BTC


Distinctly Elegant Home Defined By Superb Craftsmanship Impeccable Finishes. This Stunning 4-Bedroom, 6 Washroom Home Located Perfectly In Cliffcrest Community. Approximately Rental Income $3000 P/M, Open Concept, Main Level W/O To Yard. Spacious Kitchen, Family...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
23,2 Old Mill Dr 120,"$1,179,000 CAD",2 beds,2 baths,"


High Park-Swansea
Old Mill Dr


(  )
- BTC

","

2 Old Mill Dr 120
$1,179,000 CAD
2 baths
2 beds




High Park-Swansea
Old Mill Dr


(  )
- BTC


Welcome To This Luxury Tridel-Built Condo Situated In This #1-Voted Neighborhood By Toronto Life Magazine! Stunning Corner Unit In Bloor West Village With A 300 Sq Ft Park View Terrace, Including Bbq Connection And Hose Bib. Open Concept Lr/Dr Flooded With Natural...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
24,310 Burnhamthorpe Rd 1709,"$735,000 CAD",2 beds,2 baths,"

Mississauga
City Centre
Burnhamthorpe Rd


(  )
- BTC

","

310 Burnhamthorpe Rd 1709
$735,000 CAD
2 baths
2 beds



Mississauga
City Centre
Burnhamthorpe Rd


(  )
- BTC


Grand Ovation. The Downtown Core Of Mississauga, Be The Proud Owner Of A Stylish, State Of The Art Apartment. Tastefully Built By Tridel, The Grand Ovation Is For You To Entertain Your Friends And Brag About. Some Will Be Impressed By The Panoramic Lake View, Some Will...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
25,386 Yonge St 2703,"$950,000 CAD",1+1 beds,2 baths,"


Bay Street Corridor
Yonge St


(  )
- BTC

","

386 Yonge St 2703
$950,000 CAD
2 baths
1+1 beds




Bay Street Corridor
Yonge St


(  )
- BTC


Aura Condo @ College Park. Bright Unit W/ Beautiful Unobstructed View & Balcony, Spacious Layout, Luxury Finishing, 1 Br+Den, 763Sqft, 2 Bath, Spacious & Bright Suite W/ Se View, Chic & Modern Style, Floor To Ceiling Windows, Open Concept, Modern Kitchen W/ Granite...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
26,101 Charles St 2105,"$699,900 CAD",1 beds,1 baths,"


Church-Yonge Corridor
Charles St


(  )
- BTC

","

101 Charles St 2105
$699,900 CAD
1 baths
1 beds




Church-Yonge Corridor
Charles St


(  )
- BTC


X2 Condo Located In The Heart Of Downtown Toronto. Great Layout, 596 Sq Ft Of Living Space + Large 112 Sq Ft Balcony.   9 Ft Floor To Ceiling Windows. Stunning South West Facing. Step From Subway.First-Class Amenities: Stunning Rooftop, Outdoor Pool/Cabanas, Gym, Yoga...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
27,10 Old York Mills Rd 701,"$1,749,000 CAD",2+1 beds,2 baths,"


Bridle Path-Sunnybrook-York Mills
Old York Mills Rd


(  )
- BTC

","

10 Old York Mills Rd 701
$1,749,000 CAD
2 baths
2+1 beds




Bridle Path-Sunnybrook-York Mills
Old York Mills Rd


(  )
- BTC


Refined Living In A Rarely Offered Renovated South Facing Unit In An Opulent Tridel Bldg In The Prestigious Bridle Path Neighbourhood. Sun-Filled W Lots Of Larger Windows Overlooking Scenic Greeneries Of Hoggs Hollow. Featuring Wide Plank Hardwood Floors Throughout...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
28,20 Forest Manor Rd 305,"$599,900 CAD",2 beds,1 baths,"


Henry Farm
Forest Manor Rd


(  )
- BTC

","

20 Forest Manor Rd 305
$599,900 CAD
1 baths
2 beds




Henry Farm
Forest Manor Rd


(  )
- BTC


Bright And Spacious 2 Bedroom Unit In High Demand Area Of North York. Great Layout; Sunken Floor Living Room Leading To A Large Balcony With Beautiful Unobstructed View Of The Park. Open Concept Dining, Laminate Floors. Walking Distance To Schools, Park, Community...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
29,1201 Steeles Ave 404,"$775,000 CAD",2 beds,2 baths,"


Westminster-Branson
Steeles Ave


(  )
- BTC

","

1201 Steeles Ave 404
$775,000 CAD
2 baths
2 beds




Westminster-Branson
Steeles Ave


(  )
- BTC


Bathurst & Steeles Courtlands Build By Tridel. Huge, 2 Bedrooms + Solarium, Fully Renovated Apartment With Laminated Floors, Modern Kitchen With Tile Backsplash And In-Ceiling Lighting. In-Suite Laundry And All Utilities Are Included. 24 Hours Gated Guard House. Very...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
30,2 Gloucester Crt,"$999,000 CAD",3+3 beds,3 baths,"

Kitchener


(  )
- BTC

","

2 Gloucester Crt
$999,000 CAD
3 baths
3+3 beds



Kitchener


(  )
- BTC


Spacious, Immaculate Top-To-Bottom W/Hw Flrs Thruout. |marvellous Kitchen & Dining W/Built-In Cabinetry; High Ceiling, Ample Pot-Lights, & Pendant Lights |stunning Living Rm. Bursts W/Sunlight Thru Massive Windows & Feat:Fireplace &W/O To 1Of2 Splendid Exterior Living...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
31,10 Cahill Dr,"$999,000 CAD",3 beds,3 baths,"

Brantford


(  )
- BTC

","

10 Cahill Dr
$999,000 CAD
3 baths
3 beds



Brantford


(  )
- BTC


""Assignment Sale"" In A Wonderful Wyndfield Community By Empire. ""Camden"" Model ""A"" W/Double Door Entry, 9 Ft Ceilings & Hardwood On Main Floor ( Kitchen Area With Ceramic). Very Well Designed Eat-In-Kitchen And Breakfast Area With Walk-Out Yard. Good Size Great Room...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
32,456771 Concession 3A Rd,"$1,175,000 CAD",4 beds,2 baths,"

Chatsworth
Chatsworth
Concession 3A Rd


(  )
- BTC

","

456771 Concession 3A Rd
$1,175,000 CAD
2 baths
4 beds



Chatsworth
Chatsworth
Concession 3A Rd


(  )
- BTC


25 Acre Hobby Farm On Paved Road. Currently Set Up For Horses With 9 Paddocks, 7 Stalls In Barn, Sand Arena And 2 Run-Ins. Barn Is 51'X63' - Open/Clear Span On Upper Level With An Insulated And Heated Studio Workspace In The Former Grainery. The 4 Bedroom, 2 Bath Home...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
33,24 Victoria Ave,"$999,900 CAD",2 beds,1 baths,"

Hamilton
Stoney Creek Industrial
Victoria Ave


(  )
- BTC

","

24 Victoria Ave
$999,900 CAD
1 baths
2 beds



Hamilton
Stoney Creek Industrial
Victoria Ave


(  )
- BTC


Attention Investors & Developers! Do Not Miss This Rare Opportunity To Own This Large Corner Lot Zoned M3 That Offers Many Possibilities. Some M3 Potential Uses: Truck Driving School, Contractor's Establishment, Trade School, Motor Vehicle Service Station, Repair...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
34,26 Summer Breeze Dr,"$1,199,900 CAD",4 beds,3 baths,"

Brighton
Rural Brighton
Summer Breeze Dr


(  )
- BTC

","

26 Summer Breeze Dr
$1,199,900 CAD
3 baths
4 beds



Brighton
Rural Brighton
Summer Breeze Dr


(  )
- BTC


Welcome To This Tastefully Upgraded Opento Above 3-Car Garage Home Situated In The Desired Prince Edward County On A Premium Lot.  This Home Features Hardwood Flooring , Granite Countertops, Upgraded Master Bathroom W/ Stand Alone Tub. Lots Of Builder Upgrades...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
35,98 Keating St,"$899,000 CAD",3+1 beds,4 baths,"

Guelph
Grange Hill East
Keating St


(  )
- BTC

","

98 Keating St
$899,000 CAD
4 baths
3+1 beds



Guelph
Grange Hill East
Keating St


(  )
- BTC


Gorgeous Semi-Detached 2 Storey In The East End Guelph. Premium Lot Offers Large Backyard & Backing To Park/School, 3+1 Bed& 2.5+1Bath W/Finished Basement W/Sep Entrance, Freshly Painted, Upgraded Kitchen W/Black S/S Appliances, Backsplash, Main Floor Is Carpet Free...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
36,8 Harvey St,"$599,888 CAD",3 beds,3 baths,"


Gibson
Harvey St


(  )
- BTC

","

8 Harvey St
$599,888 CAD
3 baths
3 beds




Gibson
Harvey St


(  )
- BTC


***Building Permit And Drawings Are Available And Ready To Build Immediately*** 2 Separate Entrances To The Basement*** High And Dry*** No Access Allowed For Viewing Include 24 Hours Conditional On Inspection***Property Being Sold ""As Is"" No Warranties Or...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
37,472 Sherbrooke St,"$470,000 CAD",2+1 beds,2 baths,"

Peterborough
Downtown
Sherbrooke St


(  )
- BTC

","

472 Sherbrooke St
$470,000 CAD
2 baths
2+1 beds



Peterborough
Downtown
Sherbrooke St


(  )
- BTC


Great Central Location & Excellent Investment Opportunity In Peterborough. 2 Bedroom Unit On Second Floor Was Recently Updated & Awaiting Your Finishing Touches - Currently Vacant. Main Floor Offers 1 Bedroom Unit. Ample Parking On-Site. Located Walking Distance To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
38,555257 Mono Amaranth Townli,"$1,349,000 CAD",3 beds,3 baths,"

Mono
Rural Mono
Mono Amaranth Townli


(  )
- BTC

","

555257 Mono Amaranth Townli
$1,349,000 CAD
3 baths
3 beds



Mono
Rural Mono
Mono Amaranth Townli


(  )
- BTC


This Cozy 3 Bed Bnglow Sits On Over 10 Acres Btw Orangeville & Shelburne.Freshly Painted,Bright Dining & Living W/Stone Surround Decorative Purpose Wood Fireplace,Hrdwd Flring On Main,W/O Deck,Updated Eat-In Kitchen With Granite Counter Tops, Ceramic Tiles,Undrmnt Sink...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
39,5 Foster Rd,"$1,199,000 CAD",4+3 beds,3 baths,"


Malton
Foster Rd


(  )
- BTC

","

5 Foster Rd
$1,199,000 CAD
3 baths
4+3 beds




Malton
Foster Rd


(  )
- BTC


!! Investors Dream !! Wake Up Call For All!! Huge All Brick 4 Bedroom Bungalow In The Heart Of Malton. Huge Driveway, Modern Kitchen, 3 Washrooms, Roof (2015), Furnace & Ac ( 2016), Updated Breaker Panel, Close To All Amenities, Buses On Door Steps, Don't Miss It, Book...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
40,17 Coronation Circ,"$1,699,000 CAD",4+2 beds,5 baths,"

Brampton
Heart Lake West
Coronation Circ


(  )
- BTC

","

17 Coronation Circ
$1,699,000 CAD
5 baths
4+2 beds



Brampton
Heart Lake West
Coronation Circ


(  )
- BTC


Approx 250K Spent On Renovation On This 2 Storey 4 Bedroom Detached Greenpark Built Home With 2 Bendroom Newly Built Legal Basement. Nicely Nestled On A Deep Ravine Lot Provides An Incredibly Private Back Yard With Mature Landscape And Live With Nature. This A Rare...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
41,19 Salt Creek Terr,"$1,599,900 CAD",4 beds,4 baths,"

Caledon
Rural Caledon
Salt Creek Terr


(  )
- BTC

","

19 Salt Creek Terr
$1,599,900 CAD
4 baths
4 beds



Caledon
Rural Caledon
Salt Creek Terr


(  )
- BTC


Brand New Mattamy Built Fully Upgraded 9' Ceiling On Main Floor And 2nd Floor, 8' Doors On Both Levels. Fully Upgraded Kitchen , Washrooms, Floors, And Upgraded Carpet In All The Rooms On 2nd Level. Close To All Amenities & Highway 410. No Sidewalk. 


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
42,2151 Kipling Ave,"$1,199,000 CAD",3+1 beds,3 baths,"

Toronto
Rexdale-Kipling
Kipling Ave


(  )
- BTC

","

2151 Kipling Ave
$1,199,000 CAD
3 baths
3+1 beds



Toronto
Rexdale-Kipling
Kipling Ave


(  )
- BTC


Investment Property @ Prime Location W/Huge Lot To Build New House. $4000 Monthly Income Potential On Main Street/Kipling Near Rexdale Rd. Parks Up To 8 Cars On Driveway. Double Car Detached Garage. Recently Renovated Basement Floors/Kitchen, Concrete Work Around House...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
43,36 Lanyard Rd,"$1,379,000 CAD",3+3 beds,4 baths,"


Humbermede
Lanyard Rd


(  )
- BTC

","

36 Lanyard Rd
$1,379,000 CAD
4 baths
3+3 beds




Humbermede
Lanyard Rd


(  )
- BTC


Attention All Buyers! This Beautiful Oversized Semi-Detached Home Has Been Fully Transformed! Featuring 6 Bedrooms 4 Washrooms Throughout. As You Step Into The Home You're Welcomed To The Cute Den. The Main Floor Features 3 Bedroom 2 Fully Renovated Washrooms. New...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
44,2489 Olinda,"$3,299,000 CAD",5+2 beds,6 baths,"

Mississauga
Erindale
Olinda


(  )
- BTC

","

2489 Olinda
$3,299,000 CAD
6 baths
5+2 beds



Mississauga
Erindale
Olinda


(  )
- BTC


Custom Designed Estate, Over 7000 Sqft Luxurious Living Home,Pride Of Ownership, Custom Kitchen, Prim Bdrm On Main Flr & 2nd Flr. Office, 3 Garage W/ Epoxy Floor .Wide Driveway Ideal For Trailer/Boat. Finish Basement With Custom Movie Theatre,2-Bd, Gym Rm, In-Law/Nanny...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
45,12629 Second Line,"$2,799,999 CAD",3+1 beds,4 baths,"

Milton
Nassagaweya
Second Line


(  )
- BTC

","

12629 Second Line
$2,799,999 CAD
4 baths
3+1 beds



Milton
Nassagaweya
Second Line


(  )
- BTC


Wow Absolutely Show Stopper!!! This Property Just Under 5 Acres Within A Beautiful Mix Of Mature Trees, Sweeping Lawns And Pond. 


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
46,35 Royalavon Cres,"$2,749,000 CAD",5 beds,5 baths,"


Islington-City Centre West
Royalavon Cres


(  )
- BTC

","

35 Royalavon Cres
$2,749,000 CAD
5 baths
5 beds




Islington-City Centre West
Royalavon Cres


(  )
- BTC


Gorgeous *Islington Village* Home Features 5 Bdrms, 5 Baths, 6,500 Sq Ft Of Living Space On A 50 X 150 Ft. Lot!  Reno'd Open Concept Kit W/Skylight, S/S Appl, Large Island, W/O To Rear Covered Bbq Area B/I Bbq & Heated Studio With Skylight Desk+Hot Tub, 10' Ceiling On...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
47,90 Gray Park Dr,"$1,399,000 CAD",4+1 beds,4 baths,"


Bolton North
Gray Park Dr


(  )
- BTC

","

90 Gray Park Dr
$1,399,000 CAD
4 baths
4+1 beds




Bolton North
Gray Park Dr


(  )
- BTC


**A Must See** Spectacular Luxury 4 Br Detached Home In Bolton** 1st Time Home Buyer Or Investor, It's Your Dream Home** $$$ Spent On Upgrades** Wooden Floors** Gourmet Kitchen - Granite C/Top, Ss Appliances** Beautiful Deck & Pool** Upgraded Washrooms** Master Retreat...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
