,Address,Price,Beds,Baths,City,Area,Street,Description
15,4230 Fieldgate Dr 22,895000,3+1,3,,Rathwood,Fieldgate Dr,"2-Storey Townhouse, Rare X-Large 3+1 Bedroom Renovated Throughout In Quiet East Mississauga. New Kitchen, Large Master Bedroom W/En-Suit, Hardwood Floors Throughout. 3 Renovated Bathrooms. Marble & Birch Fireplace, Mirrored Closets, Good Sized Patio, With Fenced Back..."
16,650 Sheppard Ave 614,628000,1+1,1,,Bayview Village,Sheppard Ave,"Luxury Shane Baghai Condo In Bayview Village! Area. Open Concept Unit  ,Upgrade Granite Kit. Counter Top, Hardwood Floor Throughout! Minutes Walk To Subway Station, Bayview Village, Bus, Restaurants, Supermarket, Park And Close To Highway401 ( Stainless Steeles Fridge..."
17,126 West Oak Tr,998300,3,3,Kitchener,,,"Luxurious Home With A Double Car Garage. Family Friendly Neighborhood, Walking Distance To Schools, Parks, And Shopping, And Just Minutes To Highway. Very Practical Layout With Everything That You Need In A House Called Home. Gourmet Kitchen With S/S Appliances, Under..."
18,2437 Ploughshare Crt,999000,3+2,3,,Erin Mills,Ploughshare Crt,Newly Renovated |well-Situated In Cul-De-Sac W/I Highly Sought-After Sawmill Valley |immaculate Top-To-Bottom |approx.1700 Sf Of Superb Living |brand New Hardwood Floors & Windows Thruout |marvellous Modern Kitchen Opens To Comfortable Dining & Family Room W/ W/O To...
19,2462 Brasilia Circ,999999,3+1,3,,Meadowvale,Brasilia Circ,"Over 150K Spent On Recently Upgraded 5 Level Back Split. 3+1 Bdrm & 3 Wshrm. Living/Dining Combined. Hardwood/Laminate Flrs Throughout, Open Concept Modern Kitchen With Brand New High End Ss Appliances, Quartz Counters, Back Splash.Smooth Ceilings/Pot Lights,Family..."
20,36 Turtle Path,2499000,5,5,Ramara,Brechin,Turtle Path,"Amazing Opportunity To Own A Dreamhouse In Ontario Venice Lagoon City! Custom Built 6000 Sqf Waterfront Builder House! 20 Ft Great Room With Wood Burning Fireplace, Featuring 5 Beds, Master With 7Pc Ensuite, Large Kitchen/Dining With Granite Counter, Ss Appliances..."
21,1810 Castlemore Ave,1299000,3+1,4,Markham,Greensborough,Castlemore Ave,"A Must See Home In High Demand Greensborough Area. Freshly Painted, Pot Lights Through Out Main. Family Rm Gas Fireplace In Family Room. Three Spacious Bedrooms, Large Custom Deck, Finished Basement With Cosy Recreation Room, Bedroom And Washroom. Close To Parks, Mount..."
22,22 Horfield Ave,2699999,4+3,6,Toronto,Cliffcrest,Horfield Ave,"Distinctly Elegant Home Defined By Superb Craftsmanship Impeccable Finishes. This Stunning 4-Bedroom, 6 Washroom Home Located Perfectly In Cliffcrest Community. Approximately Rental Income $3000 P/M, Open Concept, Main Level W/O To Yard. Spacious Kitchen, Family..."
23,2 Old Mill Dr 120,1179000,2,2,,High Park-Swansea,Old Mill Dr,"Welcome To This Luxury Tridel-Built Condo Situated In This #1-Voted Neighborhood By Toronto Life Magazine! Stunning Corner Unit In Bloor West Village With A 300 Sq Ft Park View Terrace, Including Bbq Connection And Hose Bib. Open Concept Lr/Dr Flooded With Natural..."
24,310 Burnhamthorpe Rd 1709,735000,2,2,Mississauga,City Centre,Burnhamthorpe Rd,"Grand Ovation. The Downtown Core Of Mississauga, Be The Proud Owner Of A Stylish, State Of The Art Apartment. Tastefully Built By Tridel, The Grand Ovation Is For You To Entertain Your Friends And Brag About. Some Will Be Impressed By The Panoramic Lake View, Some Will..."
25,386 Yonge St 2703,950000,1+1,2,,Bay Street Corridor,Yonge St,"Aura Condo @ College Park. Bright Unit W/ Beautiful Unobstructed View & Balcony, Spacious Layout, Luxury Finishing, 1 Br+Den, 763Sqft, 2 Bath, Spacious & Bright Suite W/ Se View, Chic & Modern Style, Floor To Ceiling Windows, Open Concept, Modern Kitchen W/ Granite..."
26,101 Charles St 2105,699900,1,1,,Church-Yonge Corridor,Charles St,"X2 Condo Located In The Heart Of Downtown Toronto. Great Layout, 596 Sq Ft Of Living Space + Large 112 Sq Ft Balcony.   9 Ft Floor To Ceiling Windows. Stunning South West Facing. Step From Subway.First-Class Amenities: Stunning Rooftop, Outdoor Pool/Cabanas, Gym, Yoga..."
27,10 Old York Mills Rd 701,1749000,2+1,2,,Bridle Path-Sunnybrook-York Mills,Old York Mills Rd,Refined Living In A Rarely Offered Renovated South Facing Unit In An Opulent Tridel Bldg In The Prestigious Bridle Path Neighbourhood. Sun-Filled W Lots Of Larger Windows Overlooking Scenic Greeneries Of Hoggs Hollow. Featuring Wide Plank Hardwood Floors Throughout...
28,20 Forest Manor Rd 305,599900,2,1,,Henry Farm,Forest Manor Rd,"Bright And Spacious 2 Bedroom Unit In High Demand Area Of North York. Great Layout; Sunken Floor Living Room Leading To A Large Balcony With Beautiful Unobstructed View Of The Park. Open Concept Dining, Laminate Floors. Walking Distance To Schools, Park, Community..."
29,1201 Steeles Ave 404,775000,2,2,,Westminster-Branson,Steeles Ave,"Bathurst & Steeles Courtlands Build By Tridel. Huge, 2 Bedrooms + Solarium, Fully Renovated Apartment With Laminated Floors, Modern Kitchen With Tile Backsplash And In-Ceiling Lighting. In-Suite Laundry And All Utilities Are Included. 24 Hours Gated Guard House. Very..."
30,2 Gloucester Crt,999000,3+3,3,Kitchener,,,"Spacious, Immaculate Top-To-Bottom W/Hw Flrs Thruout. |marvellous Kitchen & Dining W/Built-In Cabinetry; High Ceiling, Ample Pot-Lights, & Pendant Lights |stunning Living Rm. Bursts W/Sunlight Thru Massive Windows & Feat:Fireplace &W/O To 1Of2 Splendid Exterior Living..."
31,10 Cahill Dr,999000,3,3,Brantford,,,"""Assignment Sale"" In A Wonderful Wyndfield Community By Empire. ""Camden"" Model ""A"" W/Double Door Entry, 9 Ft Ceilings & Hardwood On Main Floor ( Kitchen Area With Ceramic). Very Well Designed Eat-In-Kitchen And Breakfast Area With Walk-Out Yard. Good Size Great Room..."
32,456771 Concession 3A Rd,1175000,4,2,Chatsworth,Chatsworth,Concession 3A Rd,"25 Acre Hobby Farm On Paved Road. Currently Set Up For Horses With 9 Paddocks, 7 Stalls In Barn, Sand Arena And 2 Run-Ins. Barn Is 51'X63' - Open/Clear Span On Upper Level With An Insulated And Heated Studio Workspace In The Former Grainery. The 4 Bedroom, 2 Bath Home..."
33,24 Victoria Ave,999900,2,1,Hamilton,Stoney Creek Industrial,Victoria Ave,"Attention Investors & Developers! Do Not Miss This Rare Opportunity To Own This Large Corner Lot Zoned M3 That Offers Many Possibilities. Some M3 Potential Uses: Truck Driving School, Contractor's Establishment, Trade School, Motor Vehicle Service Station, Repair..."
34,26 Summer Breeze Dr,1199900,4,3,Brighton,Rural Brighton,Summer Breeze Dr,"Welcome To This Tastefully Upgraded Opento Above 3-Car Garage Home Situated In The Desired Prince Edward County On A Premium Lot.  This Home Features Hardwood Flooring , Granite Countertops, Upgraded Master Bathroom W/ Stand Alone Tub. Lots Of Builder Upgrades..."
35,98 Keating St,899000,3+1,4,Guelph,Grange Hill East,Keating St,"Gorgeous Semi-Detached 2 Storey In The East End Guelph. Premium Lot Offers Large Backyard & Backing To Park/School, 3+1 Bed& 2.5+1Bath W/Finished Basement W/Sep Entrance, Freshly Painted, Upgraded Kitchen W/Black S/S Appliances, Backsplash, Main Floor Is Carpet Free..."
36,8 Harvey St,599888,3,3,,Gibson,Harvey St,"***Building Permit And Drawings Are Available And Ready To Build Immediately*** 2 Separate Entrances To The Basement*** High And Dry*** No Access Allowed For Viewing Include 24 Hours Conditional On Inspection***Property Being Sold ""As Is"" No Warranties Or..."
37,472 Sherbrooke St,470000,2+1,2,Peterborough,Downtown,Sherbrooke St,Great Central Location & Excellent Investment Opportunity In Peterborough. 2 Bedroom Unit On Second Floor Was Recently Updated & Awaiting Your Finishing Touches - Currently Vacant. Main Floor Offers 1 Bedroom Unit. Ample Parking On-Site. Located Walking Distance To...
38,555257 Mono Amaranth Townli,1349000,3,3,Mono,Rural Mono,Mono Amaranth Townli,"This Cozy 3 Bed Bnglow Sits On Over 10 Acres Btw Orangeville & Shelburne.Freshly Painted,Bright Dining & Living W/Stone Surround Decorative Purpose Wood Fireplace,Hrdwd Flring On Main,W/O Deck,Updated Eat-In Kitchen With Granite Counter Tops, Ceramic Tiles,Undrmnt Sink..."
39,5 Foster Rd,1199000,4+3,3,,Malton,Foster Rd,"!! Investors Dream !! Wake Up Call For All!! Huge All Brick 4 Bedroom Bungalow In The Heart Of Malton. Huge Driveway, Modern Kitchen, 3 Washrooms, Roof (2015), Furnace & Ac ( 2016), Updated Breaker Panel, Close To All Amenities, Buses On Door Steps, Don't Miss It, Book..."
40,17 Coronation Circ,1699000,4+2,5,Brampton,Heart Lake West,Coronation Circ,Approx 250K Spent On Renovation On This 2 Storey 4 Bedroom Detached Greenpark Built Home With 2 Bendroom Newly Built Legal Basement. Nicely Nestled On A Deep Ravine Lot Provides An Incredibly Private Back Yard With Mature Landscape And Live With Nature. This A Rare...
41,19 Salt Creek Terr,1599900,4,4,Caledon,Rural Caledon,Salt Creek Terr,"Brand New Mattamy Built Fully Upgraded 9' Ceiling On Main Floor And 2nd Floor, 8' Doors On Both Levels. Fully Upgraded Kitchen , Washrooms, Floors, And Upgraded Carpet In All The Rooms On 2nd Level. Close To All Amenities & Highway 410. No Sidewalk. "
42,2151 Kipling Ave,1199000,3+1,3,Toronto,Rexdale-Kipling,Kipling Ave,"Investment Property @ Prime Location W/Huge Lot To Build New House. $4000 Monthly Income Potential On Main Street/Kipling Near Rexdale Rd. Parks Up To 8 Cars On Driveway. Double Car Detached Garage. Recently Renovated Basement Floors/Kitchen, Concrete Work Around House..."
43,36 Lanyard Rd,1379000,3+3,4,,Humbermede,Lanyard Rd,Attention All Buyers! This Beautiful Oversized Semi-Detached Home Has Been Fully Transformed! Featuring 6 Bedrooms 4 Washrooms Throughout. As You Step Into The Home You're Welcomed To The Cute Den. The Main Floor Features 3 Bedroom 2 Fully Renovated Washrooms. New...
44,2489 Olinda,3299000,5+2,6,Mississauga,Erindale,Olinda,"Custom Designed Estate, Over 7000 Sqft Luxurious Living Home,Pride Of Ownership, Custom Kitchen, Prim Bdrm On Main Flr & 2nd Flr. Office, 3 Garage W/ Epoxy Floor .Wide Driveway Ideal For Trailer/Boat. Finish Basement With Custom Movie Theatre,2-Bd, Gym Rm, In-Law/Nanny..."
45,12629 Second Line,2799999,3+1,4,Milton,Nassagaweya,Second Line,"Wow Absolutely Show Stopper!!! This Property Just Under 5 Acres Within A Beautiful Mix Of Mature Trees, Sweeping Lawns And Pond. "
46,35 Royalavon Cres,2749000,5,5,,Islington-City Centre West,Royalavon Cres,"Gorgeous *Islington Village* Home Features 5 Bdrms, 5 Baths, 6,500 Sq Ft Of Living Space On A 50 X 150 Ft. Lot!  Reno'd Open Concept Kit W/Skylight, S/S Appl, Large Island, W/O To Rear Covered Bbq Area B/I Bbq & Heated Studio With Skylight Desk+Hot Tub, 10' Ceiling On..."
47,90 Gray Park Dr,1399000,4+1,4,,Bolton North,Gray Park Dr,"**A Must See** Spectacular Luxury 4 Br Detached Home In Bolton** 1st Time Home Buyer Or Investor, It's Your Dream Home** $$$ Spent On Upgrades** Wooden Floors** Gourmet Kitchen - Granite C/Top, Ss Appliances** Beautiful Deck & Pool** Upgraded Washrooms** Master Retreat..."
48,57 Veterans Dr,1199000,4+1,4,,Northwest Brampton,Veterans Dr,"Absolutely-Stunning Corner Lot Detached House In The North-West Brampton Neighborhood. Filled With Natural Sunlight. Hardwood Flooring Done On The Main Floor And California Shutters Done In The Entire House. Chef Delight Kitchen W/Central Island, Granite Counter Top..."
49,2 Louisburg Cres,2500000,5+1,6,,Credit Valley,Louisburg Cres,"This Stunning 4,000-Sf Detached 5 Bed, 6 Washrms Loaded With Upgrades. It Features Exotic Hardwood Flooring And Tiles. Upgraded Kitchen With Stone Countertops And Butler's Pantry. Soaring Ceiling Heights And Designer Touches Throughout! With Crown Molding And Pot..."
50,477 Downes Jackson Hts,1199900,3+1,3,,Ford,Downes Jackson Hts,View Multimedia Tour!! Stunning Semi-Detached Located In A Desirable Area Of Milton. Living Space: 2500 Sqft; Approx 2 Years New Home. Functional Open Concept Layout W/Hardwood Flooringt-Out Main Floor. Open-Concept Kitchen Open To Backyard. Separate Dining Area...
51,66 Histon Cres,896913,5+2,3,,Madoc,Histon Cres,Spacious Bright 5 Level 5 Bedrooms And 3 Full Washrooms And 2 Separate Ent. Very Good For Investment Or First Time Buyer It Has 3 Separate Unit New Roof And Furnace 2014 New Driveway 2016 New Windows 2017 New Basement Kitchan 2018 Close To School Backing Into Park 3...
52,152 Owen St,999000,3+1,3,Barrie,City Centre,Owen St,"Attention Investors! Legal Registered Triplex. Totally Renovated 1X2-Bdr, 2X1-Bdr Units. All Units Have Separate Entrances. 2 Laundries. 2 Furnaces. 3 Hydro Meters. Vacant Possession. Garage Converted Into 3 Lockers For Additional Income. Rm2 Zoning With Huge Lot 66' X..."
53,4060 10th Sdrd,2499000,3+1,3,Bradford West Gwillimbury,Rural Bradford West Gwillimbury,10th Sdrd,"Very Private 10.5 Acres Surrounded By Simcoe County Forest With Beautiful Sunsets & No Neighbors For Your Complete Privacy. This Home Sits On Some Of The Highest Land In The Bradford Area With Great Sandy Soil. The Home Is A Sprawling 2,600 Sq Brick Bungalow With Many..."
54,232 Conklin Cres,1988000,4,4,Aurora,Rural Aurora,Conklin Cres,"Absolutely Luxurious & Back-To-Ravine 3650Sqft 2-Storey House W/ Over $200K Upgrades! 10Ft Ceiling On Main, 9Ft On 2nd&Bsmt. Basmt Unfinished Look-Out To Ravine! Upgrade Kitchen W/ B/I Appl, Granite C'tops, Crown Moulding & Wall Trims Throughout, Waffle Ceiling..."
55,99 Birch Ave,3198888,4+1,5,Richmond Hill,South Richvale,Birch Ave,Two Family Ability W/Elevator To All 3 Lvls And Grg! 1.33Acre One Of A Kind Ravine Lot! 3722Sf!Full Stone Custom Home + Bright Finished W/O Lower Lvl W/Inlaw Suite! 103 Ft Front 413Ft Depth! Pool Sized Backing To Yr Own Picturesque Pvt Ravine! Quality Maintained By...
56,110 Avenue Rd,1649000,3,2,Newmarket,Central Newmarket,Avenue Rd,"Stunning Sidesplit On A 53X250F Lot(Future Potential For Development With The Back Lots)On A Dead End Street In Heart Of Newmarket.Open Concept & Tastefully Renovated With S/S Kitchen Appliances, Quartz Ctop, B/I Microwave & Oven, Gas Burning Cooktop, Pot Lights And..."
57,67 Cachet Pkwy,6480000,5+3,9,Markham,Devil's Elbow,Cachet Pkwy,"Welcome To The Luxury Custom Build Mansion In Prestigious Cachet Estates Country Club With Appox 12,000Sqft Of Luxury Living Space. On A Over 1 Acre Lot* $450K+ Upgrd Stone Pillars Amd Wrought-Iron Fence, Remote Controlled Gates, Stone Circular Driveway W/5 Tandem..."
58,1908 Bur Oak Ave,999999,3+1,4,,Greensborough,Bur Oak Ave,"Absolutely Stunning, Completely Finished Freehold Townhome! No Detail Has Been Spared. Hardwood Flooring Throughout (M & 2nd), Upgraded Kitchen, Foyer, Staircase, Updated Basement Layout W/ A Separate Bedroom + 3 Pc Ensuite + Laundry & B/I Shelving. Did I Mention The..."
59,162 Ted Miller Cres,999900,4+1,4,Clarington,Bowmanville,Ted Miller Cres,"Prime Location In The Highly Desired Brookhill Community! This Gorgeous 4 Bedroom Brookfield Home Filled W/ Custom Upgrades, Crown Molding, D/ Door Entrance, 9Ft Ceiling On Main, Hardwood Throughout The Main & 2nd Floor, Heated Porcelain Tiles On Ensuite. Modern..."
60,5 Kecala Rd,999000,3+1,2,Toronto,Dorset Park,Kecala Rd,"Renovated,Well Maintained 3 Level Backsplit On A Beautiful 140' Mature Treed Lot*Gleaming Hardwood Floors On Main & Upper Level*Open Concept Kitchen With Ceramic Floor & Walk-Out To Yard*L-Shaped Dining & Living Room With Floor To Ceiling Fireplace**Updated Main..."
61,895 Sproule Cres,1199000,4+3,5,Oshawa,Pinecrest,Sproule Cres,"Welcome To Your New Home! This Luxurious Remodeled 4+3 Bdrm Home Boasts An Open Concept Layout Complete W/ Hardwood Flrs And Spiral Iron Wrought Staircase. Immaculately Updated From Top To Bottom, This Home Features A Gourmet Kitchen Complete W/ Quartz Countertops And..."
62,383 Windfilelds Farm Dr,1299000,4,4,,Windfields,Windfilelds Farm Dr,"4 Bedroom 4 Washroom Home In High Demand North Oshawa, Double Door Entry, Main Flr 10 Ft  Ceiling,.Pot Lights,  Professional Landscape, Close To Shopping Restaurant , Costco. Fridge, Stove, Dishwasher, Washer, Dryer,"
63,956 Kicking Horse Path,879999,5,5,,McLaughlin,Kicking Horse Path,"Welcome To 956 Kicking Horse Path. 5Bedroom, 5 Bathroom Home Is In The Highly Sought After Mclaughlin Community.Open Concept. Large Master Room W 4 Pc Ensuite & Walkin Closet. Wonderful Layout, Great For Family Living W/Lots Of Space For Entertainment. Finished..."
64,39 Oceanpearl Cres,1000000,4+1,4,Whitby,Blue Grass Meadows,Oceanpearl Cres,"Impressive 4+1 Bdrm Home W/Finished W/O Basement Located In Highly Sought After Neighbourhood. Open Concept Living& Dining Rm W/Glistening Hardwood Floors Thru-Out Main. Eat-In Kitchen W/ S/S Appls, Granite Countertops, Custom Backsplash, & W/O To Large Covered Deck..."
65,75 Perfitt Cres,999000,3+1,4,Ajax,Central,Perfitt Cres,"Amazing Location, Close To All Amenities, 401, 407 & Go Station. This Beautiful Detached Home Screams Pride Of Ownership & Is Located In The Heart Of Ajax, With Fully Finished Bsmt. With 4Bdrms & Full Bath. Main Flr Featuring A Great Functional Layout With An Open..."
66,61 Tams Dr,849900,3,2,,Central East,Tams Dr,"Location! Location! Location! This Beautiful Updated Freehold Town Home Features 3Beds 2Baths In Great Ajax Location!  *Miniutes Away From Hwy 401, Walking Distance To Costco,Walmart,Home Depot,Gym, Go Station ,Schools,&More! This Move In Ready Home Features An Updated..."
67,465 Cummer Ave,1580000,2+3,2,,Newtonbrook East,Cummer Ave,Location! Location! Location! Perfectly Located In The Heart Of North York. Great Income Generating Property. Feel Free To Add You Own Personal Touch. Steps To Bus Stop (Literally Right Across The Street) Going Towards Finch Station. Excellent School Network And Only A...
68,287 Codsell Ave,999000,4+1,3,,Bathurst Manor,Codsell Ave,"Super Convenient Location: 10 Mins Walk To Sheppard W. Subway, 5 Mins Drive To Hwy401, Yorkdale Shopping Centre, Easy Access To Downtown & York University, Steps From Top-Ranked William Leon Mackenzine C.I. Functional Lay-Out, 4 Brs, 3 Wrs, Finished Bsmt W/Separate..."
69,575 Woodward Ave,750000,3,2,Hamilton,Parkview,Woodward Ave,"Brand New Urban End Unit Townhouse Backing On To The Park. 9 Ft Ceiling. Walkout From Breakfast To Deck. Den At Ground Level Can Be A Nice Office For Work From Home Or Can Be Used As 4th Br. Close To All Amenities - Easy Access To Qew, Redhill Valley All Existing..."
70,778 Laurelwood Dr 501,599900,2,2,Waterloo,,,"Spacious 2 Bedroom, 2 Full Bath Condo With A Large Balcony (65 Sq Ft). Open Concept Living With An Abundance Of Natural Light. Stainless Steel Appliances, Breakfast Bar, Carpet Free, Laminate Flooring In Foyer, Kitchen, Living/Dining And Bedrooms. Ceramic In All..."
71,1135 Royal York Rd #205,609900,1+1,1,,Edenbridge-Humber Valley,Royal York Rd,"Bright & Spacious 1 Bed + Den In The James Club. Enjoy A.M. Coffee On Your Private South Facing Balcony O/Looking A ""Living Rooftop"". Open Concept Living/Dining/Kitchen Area Is Great For Entertaining. Convenient Layout, Breakfast Bar & Ample Cabinetry. Large Primary..."
72,223 Webb Dr 2706,898888,2+1,2,Mississauga,City Centre,Webb Dr,"Luxurious Condo In The Heart Of Mississauga With A Stunning Panoramic View Overlooking The Cn Towner And Lakeshore Views. Just Minutes To The 403,401 ,407 & Qew . Astonishing Neighborhood Walking Distance To Sq1 Mall , This Property Is Surrounded By Schools , Shopping..."
73,5240 Dundas St 607,499999,1,1,Burlington,Orchard,Dundas St,"Welcome Home To This Beautifully Modern & Trendy 1 Bedroom + Den With 9'Ft Ceilings, Laminate Floor, Designer Kit Cabinetry & Polished Quartz Countertops, Kit Island, S/S Appliances & Ensuite Laundry. This Sun-Filled Condo W/Large Windows Offers Fantastic Amenities..."
74,200 Manitoba St 118,879000,2+1,2,,Mimico,Manitoba St,"Be Immediately Wowed & At Home The Moment You Enter This Stunning 2+1 Bedroom Condo Loft With Dramatic Windows & Soaring Ceiling Height Offering South West Exposure. Spacious Living Rm With Gas Fireplace That Walk Out To Huge Patio. 2 Spacious Bedrooms, Renovated..."
75,25 Laidlaw St 524,758000,2,1,,South Parkdale,Laidlaw St,"Do Not Miss!! Sophisticated & Unique Two Bedroom Stacked Townhouse In South Parkdale With Approx 820 Sqft. Upgraded Kitchen W/ Ss Appliances, Granite Counter Top & Backsplash. Large Open Concept Living Room With Gas Fireplace & Walk Out To Balcony. A Bright..."
76,50 Kaitting Tr 304,680000,1+1,1,Oakville,Rural Oakville,Kaitting Tr,"**Assignment Sale**Proprty Under Construction, No Physical Showing!!Gorgeous 1 Bdrm+1 Bath Apt, Mattamy Built .Unit Consist Of Open Concept Liv/Din, Modern Kitchen W/Granite Coutrtop Including Upper Stacked Cabinets. Spacious  Bdrm W/ Closet. Open Concept Layout With..."
77,610 Bullock Dr 506,960000,2+1,2,Markham,Markville,Bullock Dr,"Tridel Hunt Club-Like A 5 Star Hotel In Unionville -Dazzling Bright Rooms -24 Hr Concierge-Split Bedrooms -Granite Kitchen Counters  -Ensuite Locker -Primary Bedroom Has His/Her Closets, Walkout To Balcony -6 Pc Renovated Bath-2 Parking Plus & Owned Locker-Great..."
78,396 Highway 7 Rd 310,649000,1+1,1,Richmond Hill,Doncrest,Highway 7 Rd,"2 Year New Luxury Valleymede Towers In The Heart Of Richmond Hill (Leslie/Hwy 7), 1 B + Den W/ 650 Sf, Expansive Balcony + Spacious B & Den (Den Can Be Easily Turned Into 2nd B), 9' Ceiling Thru, Large Windows W/ Unobstructed South Views, Gourmet Kitchen W 2-Tone..."
79,898 Portage Pkwy 2009,799000,2,2,Vaughan,Vaughan Corporate Centre,Portage Pkwy,"Beautiful Views From This Corner Unit, With South Western Exposure. Watch The Sunset From Your Unit Or From The Large Balcony, Lots Of Light, Freshly Painted With 9' Ceilings, Modern Kitchen, Steps To Vaughan Subway And Bus Terminal. Comes With One Parking Spot, Locker..."
80,7161 Yonge St 2426,769000,2,2,Markham,Thornhill,Yonge St,"All You Need For A Perfect Two Bed, 2 Wash, Is Here! Close To 900 Sqft, Large Den. Freshly Painted, Brand New Kitchen Cabinet, Renovated Flooring And Washrooms, Open Concept Kitchen, Spacious Living And Dining Area, Deep Walk-In Closet In Bdrm, Clear West & South View..."
