,Address,Price,Beds,Baths
44,417 Tailfeather Cres,"$1,389,900 CAD",3+2 beds,4 baths
45,47 Montjoy Cres,"$999,000 CAD",4 beds,4 baths
46,390 Remembrance Rd,"$1,999,999 CAD",4+2 beds,5 baths
47,222 Walnut Cres,"$899,900 CAD",3+2 beds,2 baths
48,46 Wesley Ave,"$829,900 CAD",4 beds,3 baths
49,231 Shorecrest Rd,"$899,000 CAD",3 beds,2 baths
50,418 Via Campanile,"$1,299,000 CAD",4+2 beds,4 baths
51,90 Knight St,"$920,000 CAD",4 beds,4 baths
52,15 Saint Nicholas Cres,"$1,498,000 CAD",4 beds,3 baths
53,57 Carl Cres,"$1,280,000 CAD",4+2 beds,5 baths
54,1978 Faylee Cres,"$949,996 CAD",3+1 beds,3 baths
55,14 Rushlands Cres,"$999,900 CAD",3 beds,3 baths
56,4 Sargeant Ave,"$1,099,999 CAD",3+1 beds,3 baths
57,7 Barrymore Rd,"$1,088,800 CAD",4+2 beds,2 baths
58,2093 Fairview St,"$499,900 CAD",1+1 beds,1 baths
59,1625 Bloor St 1216,"$549,000 CAD",2+1 beds,2 baths
60,4699 Glen Erin Dr 710,"$799,888 CAD",2+1 beds,2 baths
61,17 Zorra St 709,"$519,800 CAD",1 beds,1 baths
62,200 Veterans Dr #142,"$699,900 CAD",3 beds,2 baths
63,2 Toronto St 611,"$899,900 CAD",2 beds,2 baths
64,26 Linda Way,"$968,000 CAD",3 beds,4 baths
65,2916 Highway 7 Rd,"$748,000 CAD",2 beds,2 baths
66,28 Active Rd,"$1,490,000 CAD",4+1 beds,5 baths
67,8763 Bayview Ave 711,"$690,000 CAD",1+1 beds,2 baths
68,1600 Charles St 710,"$449,000 CAD",1 beds,1 baths
69,100 Wingarden Crt 304,"$490,000 CAD",2 beds,2 baths
70,100 Wingarden Crt 1413,"$480,000 CAD",2 beds,2 baths
71,115 Blue Jays Way 3202,"$998,000 CAD",3 beds,2 baths
72,701 Sheppard Ave 622,"$949,000 CAD",2 beds,2 baths
73,21 Grand Magazine St 719,"$699,999 CAD",1+1 beds,1 baths
74,2 Church St #2301,"$656,535 CAD",1+1 beds,1 baths
75,60 Berwick Ave 701,"$599,000 CAD",1 beds,1 baths
76,385 Great Falls Blvd,"$1,199,000 CAD",4 beds,3 baths
77,290 Powell Rd,"$1,249,000 CAD",4+2 beds,5 baths
78,94 Regency Dr,"$949,000 CAD",3 beds,2 baths
79,37 Chaplin Ave,"$1,299,000 CAD",6+2 beds,3 baths
80,91 Hands Dr,"$1,099,000 CAD",5 beds,4 baths
81,16 Randy Ave,"$1,150,000 CAD",4 beds,1 baths
82,238 Tower Rd,"$274,995 CAD",0 beds,0 baths
83,5785 Spring St,"$649,900 CAD",3 beds,2 baths
84,7 Clover Circ,"$1,799,950 CAD",4 beds,3 baths
85,6 Evangelista Crt,"$1,295,000 CAD",3+1 beds,4 baths
86,34 Dalewood Cres,"$899,900 CAD",7 beds,2 baths
87,15 Haddon Ave,"$799,900 CAD",6 beds,3 baths
88,155 9th St,"$549,900 CAD",3 beds,2 baths
89,3167 Shannonville Rd,"$189,900 CAD",0 beds,0 baths
90,152 Cavan St,"$569,000 CAD",3 beds,2 baths
91,39 Olivia St,"$999,999 CAD",3 beds,3 baths
92,11 Geneva Dr,"$875,000 CAD",3 beds,2 baths
93,61 Talbot St,"$359,900 CAD",4 beds,2 baths
94,106 Clark St,"$799,999 CAD",3 beds,3 baths
95,120 Westchester Ave,"$509,900 CAD",3 beds,1 baths
96,419 Brown St,"$749,900 CAD",3+2 beds,1 baths
97,30 Rapids Lane,"$849,900 CAD",4 beds,3 baths
98,92 Fairview Ave,"$799,900 CAD",3+1 beds,3 baths
99,1175 Haldibrook Rd,"$4,900,000 CAD",4 beds,3 baths
100,199 Green Vista Dr,"$999,900 CAD",4 beds,4 baths
101,592 Lambton St,"$539,000 CAD",3 beds,2 baths
102,69 Cait Crt,"$2,198,000 CAD",3+1 beds,2 baths
103,202 Mactay Dr,"$1,200,000 CAD",4+1 beds,3 baths
104,80 Saddlebrook Crt,"$999,900 CAD",4 beds,3 baths
105,161 Highland Rd,"$1,049,000 CAD",3+1 beds,4 baths
106,1 Brown Rd,"$299,900 CAD",3+1 beds,2 baths
107,690 Zermatt Dr,"$699,900 CAD",3 beds,3 baths
108,78 Youngman Dr,"$950,000 CAD",4+2 beds,3 baths
109,6045 Ernest Cres,"$899,900 CAD",3 beds,4 baths
110,21 Lions Park Ave,"$1,250,000 CAD",3+1 beds,4 baths
111,14 Sherbourne St,"$899,000 CAD",3 beds,4 baths
112,35 Bannister Cres,"$1,199,000 CAD",3 beds,3 baths
113,669 Cumberland Ave,"$995,000 CAD",3+2 beds,2 baths
114,26 Enclave Tr,"$1,099,000 CAD",4 beds,3 baths
115,99 Harvest Moon Dr,"$1,100,000 CAD",3 beds,3 baths
116,150 Voltarie Cres,"$999,000 CAD",3+2 beds,2 baths
117,66 Ludstone Dr,"$1,100,000 CAD",3 beds,3 baths
118,1196 Stanley Dr,"$999,000 CAD",3 beds,1 baths
119,24 Rothsay Ave,"$1,398,000 CAD",2+2 beds,2 baths
120,17583 Humber Station Rd,"$2,699,000 CAD",2+2 beds,3 baths
121,411 Veterans Dr,"$1,349,900 CAD",3 beds,4 baths
122,643 Lomond Cres,"$789,900 CAD",3 beds,2 baths
123,75 Elder Ave 51,"$1,199,000 CAD",3 beds,2 baths
124,31 Pendulum Circ,"$1,199,900 CAD",4 beds,4 baths
125,37 Spotted Owl Cres,"$1,599,900 CAD",4+2 beds,5 baths
126,705 Ferguson Dr,"$1,249,000 CAD",3+1 beds,4 baths
127,107 Meadow Dr,"$899,900 CAD",4 beds,3 baths
128,45 Nevillle Cres,"$1,249,900 CAD",4 beds,3 baths
129,438 Maple Ave,"$3,499,500 CAD",4+1 beds,5 baths
130,1145 Treetop Terr,"$1,149,000 CAD",3+1 beds,4 baths
131,5 Blackberry Valley Cres,"$1,299,000 CAD",3 beds,3 baths
132,5 Darlington Cres,"$999,999 CAD",3 beds,2 baths
133,143 Arleta Ave,"$890,000 CAD",3 beds,2 baths
134,30 Meadowlark Dr,"$1,199,000 CAD",3+2 beds,4 baths
135,1553 Waterdown Rd,"$1,299,900 CAD",5 beds,2 baths
136,441 Wedgewood Dr,"$4,150,000 CAD",4+1 beds,5 baths
137,2340 Britannia Rd,"$1,695,000 CAD",3+1 beds,3 baths
138,73 Sparta Dr,"$1,599,000 CAD",4+2 beds,4 baths
139,4 Myrtle Crt,"$949,900 CAD",3 beds,3 baths
140,44 Jordensen Dr,"$1,199,999 CAD",4 beds,4 baths
141,27 Redfinch Way,"$1,079,000 CAD",3+1 beds,3 baths
142,19 Mayfair Cres,"$999,000 CAD",3 beds,2 baths
143,53 Cavendish Cres,"$1,099,900 CAD",3+2 beds,3 baths
144,342 Wisteria Way,"$1,688,000 CAD",4 beds,3 baths
145,81 Princess St,"$799,900 CAD",2+2 beds,2 baths
146,2455 Belt Lane 6,"$950,000 CAD",3 beds,3 baths
147,7375 Sills Rd,"$1,199,999 CAD",4+1 beds,3 baths
148,2009 Delaney Dr,"$1,550,000 CAD",4 beds,3 baths
149,5712 Old School Rd,"$2,699,000 CAD",5 beds,3 baths
150,1469 Broadmoor Ave,"$4,399,000 CAD",5 beds,4 baths
151,12 Perdita Rd,"$1,395,000 CAD",3+1 beds,5 baths
152,12 Valleypark Cres,"$1,250,000 CAD",6 beds,4 baths
153,78 Wildberry Cres,"$1,199,999 CAD",3+1 beds,4 baths
154,5183 Severn Pines Cres,"$699,900 CAD",2 beds,1 baths
155,288 Steeles Line,"$2,799,000 CAD",4 beds,3 baths
156,273 Franklin St,"$614,900 CAD",3+3 beds,2 baths
157,2 Middleport Dr,"$749,900 CAD",2+1 beds,3 baths
158,125 Second Ave,"$1,849,000 CAD",4 beds,4 baths
159,297 Dalhousie St,"$845,000 CAD",2+1 beds,2 baths
160,68 Oakridge Crt,"$749,900 CAD",3 beds,3 baths
161,46 Starr Cres,"$1,349,000 CAD",4 beds,3 baths
162,44 Bawden Dr,"$1,290,000 CAD",3 beds,4 baths
163,13 Seguin St,"$1,258,000 CAD",3 beds,4 baths
164,11 Royal Oak Rd,"$1,199,000 CAD",4 beds,4 baths
165,62 Kalmar Cres,"$1,199,000 CAD",4 beds,4 baths
166,5 Amos Crt,"$1,480,000 CAD",4 beds,3 baths
167,252 Church St,"$2,750,000 CAD",4+2 beds,7 baths
168,227 Zokol Dr,"$1,299,000 CAD",4 beds,4 baths
169,9 Ray St,"$998,000 CAD",3+2 beds,4 baths
170,4 Theobalds Circ,"$1,950,000 CAD",4+1 beds,4 baths
171,213 Douglas Rd,"$1,680,000 CAD",3+2 beds,3 baths
172,62 Rosario Dr,"$1,198,000 CAD",3 beds,4 baths
173,12 Queensborough Crt,"$1,980,000 CAD",4 beds,3 baths
174,228 Vivant St,"$899,000 CAD",2+1 beds,3 baths
175,662 Duclos Point Rd,"$1,999,000 CAD",3+2 beds,3 baths
176,122 Viscount Dr,"$1,388,000 CAD",4 beds,3 baths
177,70 Douglas Rd,"$1,999,000 CAD",2 beds,2 baths
178,16 Haida Dr,"$899,000 CAD",3 beds,2 baths
179,55 New Yorkton Ave,"$1,388,900 CAD",3+2 beds,4 baths
180,15 Houndtrail Dr,"$1,299,999 CAD",4+1 beds,4 baths
181,174 Wheeler Ave,"$1,580,000 CAD",3 beds,3 baths
182,104 Duke St,"$699,000 CAD",2 beds,1 baths
183,7 Clinton Crt,"$899,900 CAD",4 beds,3 baths
184,256 Pimlico Dr,"$1,299,900 CAD",4+3 beds,5 baths
185,282 Queensdale Ave,"$1,199,000 CAD",3+1 beds,3 baths
186,3 Weldon St,"$1,199,999 CAD",4 beds,4 baths
187,180 Drayton Ave,"$1,318,000 CAD",3 beds,2 baths
188,318 Rouge Highlands Dr,"$1,150,000 CAD",3+1 beds,2 baths
189,1315 Gull Crossing,"$1,050,000 CAD",4 beds,4 baths
190,12 Thackery Dr,"$998,999 CAD",4 beds,3 baths
191,1011 Southport Dr,"$799,000 CAD",3+1 beds,4 baths
192,61 Rubic Cres,"$1,188,800 CAD",4+2 beds,5 baths
193,3786 Lawrence Ave,"$1,148,000 CAD",3+3 beds,2 baths
194,151 Underwood Dr,"$1,149,000 CAD",4 beds,3 baths
195,44 Canongate Tr,"$1,725,000 CAD",4+3 beds,5 baths
196,809 Wolfberry Crt,"$749,000 CAD",3 beds,2 baths
197,37 Keenlyside Lane,"$799,990 CAD",3+1 beds,4 baths
198,1940 Brock Conc Rd 1 Rd,"$2,499,000 CAD",3 beds,3 baths
199,78 Sidney Rundle Ave,"$799,990 CAD",4 beds,3 baths
200,85 Magpie Way,"$699,900 CAD",3+1 beds,4 baths
201,19 Mcroberts Cres,"$1,199,000 CAD",4+1 beds,4 baths
202,378 Port Royal Tr,"$1,499,000 CAD",4+1 beds,4 baths
203,708 Carnegie Ave,"$699,900 CAD",3+2 beds,2 baths
204,70 Taunton Rd,"$1,680,000 CAD",6 beds,6 baths
205,6 Wanstead Ave,"$1,299,000 CAD",2+2 beds,2 baths
206,91 Snowball Cres,"$999,999 CAD",4+1 beds,2 baths
207,186 Bellamy Rd,"$849,900 CAD",3 beds,3 baths
208,435 Wilson Rd,"$599,000 CAD",3+1 beds,2 baths
209,642 Conlin Rd,"$1,999,900 CAD",4 beds,3 baths
210,13 Alma Ave,"$999,999 CAD",3 beds,2 baths
211,8 Clairtrell Rd,"$1,468,000 CAD",3+1 beds,4 baths
212,6 Francine Dr,"$1,699,000 CAD",4+1 beds,3 baths
213,19 Daleena Dr,"$2,698,888 CAD",4 beds,4 baths
214,110 Hillhurst Blvd,"$2,599,000 CAD",3 beds,3 baths
215,24 Meadowglade Cres,"$1,788,800 CAD",4 beds,2 baths
216,73 Oriole Pkwy,"$3,499,000 CAD",5+1 beds,4 baths
217,10 Berkindale Dr,"$9,500,000 CAD",5+2 beds,10 baths
218,191 Glengarry Ave,"$2,880,000 CAD",4 beds,4 baths
219,284 Parkview Ave,"$2,338,800 CAD",3 beds,1 baths
220,215 Glenridge Ave 207,"$399,900 CAD",2 beds,1 baths
221,8142 Costabile Dr 1,"$729,900 CAD",2 beds,4 baths
222,150 Charlton Ave 3003,"$299,900 CAD",1 beds,1 baths
223,55 Duke St,"$699,900 CAD",2+1 beds,2 baths
224,15 Queen St 1315,"$410,000 CAD",1 beds,1 baths
225,270 Melvin Ave 33,"$699,900 CAD",3 beds,2 baths
226,60 George Butchart Dr 605,"$699,000 CAD",2 beds,2 baths
227,310 Burnhamthorpe Rd 301,"$699,000 CAD",2+1 beds,2 baths
228,17 Zorra St 307,"$599,000 CAD",1+1 beds,2 baths
229,200 Veterans Dr 82,"$699,999 CAD",3 beds,3 baths
230,3105 Queen Frederica Dr 801,"$449,900 CAD",2 beds,1 baths
231,816 Lansdowne Ave 1203,"$699,500 CAD",2+1 beds,1 baths
232,408 Browns Line 201,"$980,000 CAD",2 beds,2 baths
233,70 Annie Craig Dr 313,"$799,990 CAD",2 beds,2 baths
234,220 Burnhamthorpe Rd 1904,"$599,990 CAD",2 beds,2 baths
235,70 Annie Craig Dr 203,"$799,999 CAD",2 beds,2 baths
236,1380 Costigan Rd 92,"$839,000 CAD",3 beds,2 baths
237,1000 Asleton Blvd 166,"$999,900 CAD",4 beds,3 baths
238,234 Albion Rd 304,"$569,999 CAD",3 beds,2 baths
239,70 Annie Craig Dr Th 102,"$1,178,000 CAD",2+1 beds,3 baths
240,58 Lakeside Terr 301,"$629,000 CAD",2 beds,2 baths
241,9225 Jane St 905,"$699,900 CAD",2 beds,2 baths
242,898 Portage Pkwy 5809,"$788,000 CAD",2+1 beds,2 baths
243,3600 Highway 7 327,"$599,999 CAD",1+1 beds,1 baths
244,9015 Leslie St Lph8,"$555,880 CAD",2 beds,2 baths
245,7420 Bathurst St 1204,"$799,000 CAD",2 beds,2 baths
246,898 Portage Pkwy 2011,"$550,000 CAD",1 beds,1 baths
247,4064 Lawrence Ave 523,"$299,000 CAD",2+1 beds,1 baths
248,2800 Midland Ave 26,"$799,000 CAD",4 beds,3 baths
249,1460 Whites Rd 104,"$799,000 CAD",2 beds,3 baths
250,1 Falaise Dr 106,"$399,990 CAD",1 beds,1 baths
251,1460 Whites Rd 414,"$899,000 CAD",2 beds,3 baths
252,104 Petra Way 2,"$629,000 CAD",2 beds,1 baths
253,5 Massey Sq 1101,"$399,900 CAD",1 beds,1 baths
254,115 Blue Jays Way,"$499,900 CAD",0 beds,1 baths
255,100 Leeward Glwy 1807,"$499,900 CAD",2 beds,1 baths
256,108 Finch Ave D23,"$849,900 CAD",3+1 beds,3 baths
257,70 Queens Wharf Rd 3011,"$699,900 CAD",1+1 beds,1 baths
258,492 Eglinton Ave 1202,"$1,900,000 CAD",3 beds,3 baths
259,8 Mercer St 601,"$649,900 CAD",1+1 beds,1 baths
260,20 Bruyeres Mews 719,"$565,000 CAD",1 beds,1 baths
261,11 Wellesley St 4410,"$579,888 CAD",0 beds,1 baths
262,3237 Bayview Ave 911,"$688,000 CAD",2+1 beds,2 baths
263,390 Cherry St 708,"$638,000 CAD",1+1 beds,1 baths
264,295 Adelaide St 1013,"$769,000 CAD",1+1 beds,2 baths
265,89 Mccaul St 515,"$599,888 CAD",2 beds,1 baths
266,260 Merton St 901,"$819,800 CAD",2 beds,2 baths
267,458 Richmond St 1303,"$899,900 CAD",1+1 beds,1 baths
268,36 Forest Manor Rd 624,"$819,000 CAD",2 beds,2 baths
269,8 The Esplanade 1312,"$699,000 CAD",1+1 beds,2 baths
270,20 Bruyeres Mews,"$648,888 CAD",1+1 beds,1 baths
271,29 Queens Quay 616,"$1,680,000 CAD",2+1 beds,3 baths
272,20 Scrivener Sq 716,"$1,150,000 CAD",1 beds,2 baths
273,720 Spadina Ave 801,"$418,000 CAD",1 beds,1 baths
274,1005 King St 701,"$799,900 CAD",2+1 beds,2 baths
275,115 Blue Jays Way 610,"$750,000 CAD",1+1 beds,1 baths
276,38 Monte Kwinter Crt 901,"$539,900 CAD",1 beds,1 baths
277,46 Skye Valley Dr,"$1,699,000 CAD",2+3 beds,3 baths
278,13 Woodend Dr,"$1,549,000 CAD",3+2 beds,2 baths
279,70 Clare Ave,"$499,900 CAD",2 beds,1 baths
280,1 Kaine Hill Dr,"$1,699,900 CAD",3+1 beds,4 baths
281,565 Highpoint Ave,"$749,000 CAD",3+1 beds,2 baths
282,1182 Hwy 6,"$800,000 CAD",3 beds,2 baths
283,1186 Hwy 6,"$4,400,000 CAD",0 beds,3 baths
284,1193 Bobshire Rd,"$1,800,000 CAD",0 beds,0 baths
285,10783 County 2 Rd,"$550,000 CAD",2 beds,1 baths
286,54 Collingwood St,"$499,900 CAD",3 beds,2 baths
287,130 Rochefort St,"$799,800 CAD",3 beds,3 baths
288,28 Clough Cres,"$749,900 CAD",3 beds,3 baths
289,15 Parkview Cres,"$509,000 CAD",3 beds,2 baths
290,34 Brigade Dr,"$849,900 CAD",3 beds,2 baths
291,17 Sunnyside Dr,"$675,000 CAD",2+1 beds,1 baths
292,91 French Dr,"$1,400,000 CAD",4 beds,2 baths
293,277 Meadowview Rd,"$999,000 CAD",3 beds,3 baths
294,1024 Maria St,"$549,900 CAD",2 beds,1 baths
295,150 Carroll St,"$699,900 CAD",2 beds,1 baths
296,52 Thomas St,"$489,900 CAD",3 beds,1 baths
297,1107 Mersea Road 7 Rd,"$1,500,000 CAD",3+3 beds,4 baths
298,10508 108 St,"$459,000 CAD",3+1 beds,2 baths
299,8501 Donaldson Rd,"$1,795,000 CAD",6 beds,4 baths
300,638 Attenborough Terr,"$995,000 CAD",2 beds,2 baths
301,2446 Overton Dr,"$1,249,000 CAD",3+2 beds,4 baths
302,39 Pentonville Rd,"$1,178,888 CAD",3+1 beds,4 baths
303,1363 Seaview Dr,"$799,000 CAD",3 beds,1 baths
304,9 Severin St,"$1,699,900 CAD",4+2 beds,4 baths
305,3904 Swiftdale Dr,"$1,599,900 CAD",4 beds,4 baths
306,67 Mcmurchy Ave,"$999,000 CAD",3+2 beds,2 baths
307,3271 Larry Cres,"$1,998,000 CAD",4 beds,4 baths
308,5261 Palmetto Pl,"$1,299,900 CAD",3 beds,4 baths
309,28 Algonquin Ave,"$2,288,000 CAD",4+2 beds,6 baths
310,3147 Robert Brown Blvd,"$1,680,000 CAD",4+1 beds,4 baths
311,523 Valley Dr,"$1,250,000 CAD",2+3 beds,3 baths
312,2627 Council Ring Rd,"$1,388,888 CAD",3+2 beds,4 baths
313,18 Grapevine Rd,"$1,199,000 CAD",3 beds,4 baths
314,8 Outlook Ave,"$1,299,000 CAD",3+2 beds,4 baths
315,54 Magdalene Cres,"$899,999 CAD",3+1 beds,3 baths
316,59 Kenpark Ave,"$1,995,000 CAD",6+3 beds,6 baths
317,185 Margaret Dr,"$1,399,000 CAD",3 beds,3 baths
318,3254 Bloomfield Dr,"$1,499,000 CAD",4+2 beds,5 baths
319,195 Bowie Ave,"$1,038,888 CAD",3 beds,2 baths
320,110 Brisdale Dr,"$1,499,999 CAD",4+2 beds,4 baths
321,10 Rainforest Dr,"$1,449,900 CAD",3+3 beds,5 baths
322,29 Cedar Dr,"$2,649,000 CAD",2+1 beds,4 baths
323,23 Topeka Rd,"$999,999 CAD",3+2 beds,3 baths
324,60 Forsyth Cres,"$1,399,900 CAD",4 beds,4 baths
325,75 Batiste Tr,"$899,900 CAD",3 beds,3 baths
326,136 Edenbrook Hill,"$1,299,000 CAD",3+2 beds,4 baths
327,27 Block Rd,"$1,249,000 CAD",4 beds,3 baths
328,124 Poplar Ave,"$899,000 CAD",4 beds,2 baths
329,184 Churchill Rd,"$849,000 CAD",4 beds,2 baths
330,608 Bennett Crt,"$799,900 CAD",3 beds,2 baths
331,23 Terrastone Crt,"$1,199,000 CAD",3+1 beds,4 baths
332,51 Hiberton Cres,"$1,499,900 CAD",4 beds,4 baths
333,4781 Colombo Cres,"$1,099,000 CAD",3+1 beds,4 baths
334,64 Scott St,"$1,399,900 CAD",4+2 beds,4 baths
335,27 Cirillo St,"$1,699,900 CAD",4 beds,4 baths
336,1332 Outlook Terr,"$1,825,000 CAD",4+1 beds,4 baths
337,3 Yellow Pine Rd,"$1,899,000 CAD",5+2 beds,5 baths
338,21 Speckled Alder St,"$1,599,999 CAD",4 beds,4 baths
339,11 Split Maple Lane,"$1,750,000 CAD",4+1 beds,4 baths
340,2111 Dunmore Ave,"$1,199,900 CAD",3 beds,3 baths
341,633 Arbor Rd,"$1,798,000 CAD",3+3 beds,3 baths
342,540 Caverhill Cres,"$1,199,900 CAD",3 beds,3 baths
343,885 Farmstead Dr,"$1,700,000 CAD",4+2 beds,4 baths
344,921 Dice Way,"$1,699,888 CAD",3 beds,3 baths
345,77 Eastview Gate,"$1,199,900 CAD",3+2 beds,4 baths
346,79 Alaskan Summit Crt,"$1,049,000 CAD",4 beds,4 baths
347,1478 Sandgate Cres,"$799,000 CAD",2+2 beds,2 baths
348,3 Worth Ave,"$1,499,900 CAD",4+2 beds,4 baths
349,14 Thirty-Eight St,"$1,750,000 CAD",3 beds,1 baths
350,2912 Lakeshore Rd,"$885,000 CAD",3+3 beds,2 baths
351,137 Pringle Dr,"$699,900 CAD",3 beds,3 baths
352,35 Browning Tr,"$699,900 CAD",3+1 beds,2 baths
353,43 D'ambrosio Dr,"$699,900 CAD",3+1 beds,2 baths
354,17 Sandalwood Crt,"$1,425,000 CAD",3+1 beds,4 baths
355,11 Caribbean Dr,"$710,000 CAD",3+2 beds,3 baths
356,91 Coughlin Rd 37,"$699,000 CAD",3 beds,2 baths
357,90 Elgin St,"$474,900 CAD",3 beds,1 baths
358,3 Wallwins Way,"$799,000 CAD",2+1 beds,2 baths
359,54 Haskins Cres,"$799,000 CAD",3 beds,3 baths
360,2796 Purvis St,"$1,199,900 CAD",3 beds,4 baths
361,328 Walter Dr,"$829,000 CAD",3+1 beds,1 baths
362,26 Camrose Dr,"$898,000 CAD",4 beds,4 baths
363,27 Savoy Cres,"$1,799,900 CAD",4 beds,5 baths
364,24 Marchwood Cres,"$1,098,800 CAD",3 beds,3 baths
365,1 Via Campanile,"$2,639,000 CAD",4+3 beds,5 baths
366,275 Pefferlaw Rd,"$499,000 CAD",2 beds,1 baths
367,1903 Forest Valley Dr,"$1,860,000 CAD",4 beds,3 baths
368,16 Northumberland Terr,"$2,699,000 CAD",5 beds,5 baths
369,256 Melville Ave,"$1,588,800 CAD",4 beds,4 baths
370,25410 Maple Beach Rd,"$1,597,000 CAD",3 beds,2 baths
371,22 Cedar Cres,"$1,350,000 CAD",5 beds,4 baths
372,32 Forestwood St,"$999,000 CAD",3+1 beds,4 baths
373,146 Howard Rd,"$1,890,000 CAD",3+1 beds,2 baths
374,5556 Vivian Rd,"$2,300,000 CAD",4 beds,4 baths
375,5 Coral Creek Cres,"$975,000 CAD",3+1 beds,3 baths
376,50 Charles Cooper Crt,"$5,999,999 CAD",4+2 beds,5 baths
377,15 Waterstone Way,"$899,900 CAD",3+1 beds,4 baths
378,16 Eaton Park Lane 5,"$999,000 CAD",3+1 beds,3 baths
379,83 Mantz Cres,"$899,900 CAD",3 beds,4 baths
380,87 Hurst Dr,"$1,079,888 CAD",4+2 beds,5 baths
381,1901 Poppy Lane,"$888,000 CAD",4+1 beds,3 baths
382,1893 Rosebank Rd,"$1,398,800 CAD",5+3 beds,5 baths
383,29 Sarah Ashbridge Ave,"$2,389,999 CAD",3+2 beds,4 baths
384,32 Macmillan Ave,"$849,900 CAD",3+1 beds,4 baths
385,686 Brasswinds Tr,"$849,900 CAD",3 beds,3 baths
386,45 Cheetah Cres,"$949,000 CAD",3 beds,3 baths
387,59 Sagewood Ave,"$849,900 CAD",3 beds,3 baths
388,22 Teresa Dr,"$1,049,000 CAD",4+1 beds,4 baths
389,91 Glencrest Blvd,"$1,649,900 CAD",4+2 beds,4 baths
390,1418 Colmar Ave,"$799,900 CAD",3 beds,2 baths
391,257 Overbank Dr,"$600,000 CAD",3 beds,3 baths
392,103 Sadlee Cove Cres,"$899,000 CAD",3 beds,3 baths
393,36 Sudbury Hall Dr,"$949,000 CAD",3+1 beds,4 baths
394,7 Aspendale Dr,"$899,900 CAD",3+1 beds,2 baths
395,5 Fairway Dr,"$699,000 CAD",2 beds,2 baths
396,9 Fitzgerald Mews,"$1,189,000 CAD",2+1 beds,2 baths
397,13 Orchardview Blvd,"$649,900 CAD",3+1 beds,2 baths
398,40 Dalebrooke Cres,"$999,000 CAD",3 beds,3 baths
399,11 Elder St,"$1,699,000 CAD",3+1 beds,2 baths
400,259 Robina Ave,"$999,998 CAD",4 beds,1 baths
